"GEOID";"NAME";"Population"
"26163516900";"Census Tract 5169, Wayne County, Michigan";2609
"26163521400";"Census Tract 5214, Wayne County, Michigan";1240
"26163522400";"Census Tract 5224, Wayne County, Michigan";1012
"26163523200";"Census Tract 5232, Wayne County, Michigan";3920
"26163524700";"Census Tract 5247, Wayne County, Michigan";3830
"26163525800";"Census Tract 5258, Wayne County, Michigan";1584
"26163526200";"Census Tract 5262, Wayne County, Michigan";3395
"26163530500";"Census Tract 5305, Wayne County, Michigan";2659
"26163531100";"Census Tract 5311, Wayne County, Michigan";1061
"26163531200";"Census Tract 5312, Wayne County, Michigan";3003
"26163531600";"Census Tract 5316, Wayne County, Michigan";1593
"26163533300";"Census Tract 5333, Wayne County, Michigan";1636
"26163534200";"Census Tract 5342, Wayne County, Michigan";3929
"26163535200";"Census Tract 5352, Wayne County, Michigan";2610
"26163536600";"Census Tract 5366, Wayne County, Michigan";2756
"26163536900";"Census Tract 5369, Wayne County, Michigan";3285
"26163537200";"Census Tract 5372, Wayne County, Michigan";896
"26163539600";"Census Tract 5396, Wayne County, Michigan";3282
"26163542100";"Census Tract 5421, Wayne County, Michigan";4151
"26163539400";"Census Tract 5394, Wayne County, Michigan";3491
"26163540200";"Census Tract 5402, Wayne County, Michigan";3406
"26163541100";"Census Tract 5411, Wayne County, Michigan";3012
"26163542300";"Census Tract 5423, Wayne County, Michigan";2175
"26163544000";"Census Tract 5440, Wayne County, Michigan";2362
"26163517200";"Census Tract 5172, Wayne County, Michigan";1799
"26163520700";"Census Tract 5207, Wayne County, Michigan";2400
"26163523400";"Census Tract 5234, Wayne County, Michigan";2689
"26163524500";"Census Tract 5245, Wayne County, Michigan";736
"26163504200";"Census Tract 5042, Wayne County, Michigan";1978
"26163501400";"Census Tract 5014, Wayne County, Michigan";4149
"26163510500";"Census Tract 5105, Wayne County, Michigan";4861
"26163511200";"Census Tract 5112, Wayne County, Michigan";1385
"26163512600";"Census Tract 5126, Wayne County, Michigan";1516
"26163514300";"Census Tract 5143, Wayne County, Michigan";3743
"26163541500";"Census Tract 5415, Wayne County, Michigan";4035
"26163541700";"Census Tract 5417, Wayne County, Michigan";2085
"26163543200";"Census Tract 5432, Wayne County, Michigan";2873
"26163545300";"Census Tract 5453, Wayne County, Michigan";1750
"26163545400";"Census Tract 5454, Wayne County, Michigan";778
"26163545600";"Census Tract 5456, Wayne County, Michigan";4048
"26163546700";"Census Tract 5467, Wayne County, Michigan";2903
"26163546300";"Census Tract 5463, Wayne County, Michigan";1845
"26163530900";"Census Tract 5309, Wayne County, Michigan";2447
"26163527200";"Census Tract 5272, Wayne County, Michigan";845
"26163527300";"Census Tract 5273, Wayne County, Michigan";1116
"26163533900";"Census Tract 5339, Wayne County, Michigan";2930
"26163534600";"Census Tract 5346, Wayne County, Michigan";1714
"26163537600";"Census Tract 5376, Wayne County, Michigan";3652
"26163536400";"Census Tract 5364, Wayne County, Michigan";2808
"26163540500";"Census Tract 5405, Wayne County, Michigan";3282
"26163500700";"Census Tract 5007, Wayne County, Michigan";4740
"26163540800";"Census Tract 5408, Wayne County, Michigan";2145
"26163503900";"Census Tract 5039, Wayne County, Michigan";2194
"26163540400";"Census Tract 5404, Wayne County, Michigan";2551
"26163524300";"Census Tract 5243, Wayne County, Michigan";2921
