"GEOID";"pop_white0";"pop_black0";"pop_asian0";"pop_other0";"pop_latino0";"p_white0";"p_black0";"p_asian0";"p_latino0";"p_other0"
"26163512900";32;1147;72;43;0;0.0247295208655332;0.886398763523957;0.0556414219474498;0;0.0332302936630603
"26163516700";52;2836;73;85;0;0.0170715692711753;0.931057124097177;0.0239658568614576;0;0.0279054497701904
"26163517000";709;1974;50;35;20;0.254304160688666;0.708034433285509;0.0179340028694405;0.00717360114777618;0.0125538020086083
"26163517100";163;966;0;5;12;0.142233856893543;0.842931937172775;0;0.0104712041884817;0.0043630017452007
"26163518000";620;1449;32;85;35;0.279153534443944;0.652408824853669;0.0144079243583971;0.0157586672669968;0.0382710490769923
"26163518400";88;401;0;4;0;0.178498985801217;0.813387423935091;0;0;0.00811359026369168
"26163542900";221;2953;0;188;11;0.0655203083308627;0.875481766973021;0;0.00326119181737326;0.055736732878743
"26163538900";29;3304;0;51;9;0.00854700854700855;0.973769525493663;0;0.0026525198938992;0.0150309460654288
"26163542200";4;3317;0;74;196;0.00111389585073796;0.92369813422445;0;0.0545808966861598;0.0206070732386522
"26163542500";39;2728;0;27;4;0.0139385275196569;0.974982130092924;0;0.00142959256611866;0.00964974982130093
"26163543500";65;1519;0;0;8;0.0408291457286432;0.954145728643216;0;0.0050251256281407;0
"26163543800";236;565;9;56;77;0.250265111346766;0.59915164369035;0.0095440084835631;0.0816542948038176;0.0593849416755037
"26163544100";168;1427;0;10;0;0.104672897196262;0.889096573208723;0;0;0.00623052959501558
"26163545200";13;3150;22;11;9;0.00405616224648986;0.982839313572543;0.00686427457098284;0.00280811232449298;0.00343213728549142
"26163545800";1701;2290;131;203;507;0.352028145695364;0.473923841059603;0.0271109271523179;0.104925496688742;0.0420115894039735
"26163545900";539;3070;2;68;142;0.141062549070924;0.803454593038472;0.000523423187647213;0.0371630463229521;0.0177963883800052
"26163546200";760;2177;62;38;171;0.236907730673317;0.678615960099751;0.0193266832917706;0.0533042394014963;0.0118453865336658
